Time;;22ll8;272s9;27lw4;28zvk;29z2z;428kh;46xmb;486ll;48l2j;4cz5c;4qv8w;4snrh;558vk;5bzng;5ds9w;5hm9v;5kkq9;5nvq5;5p9fq;5r9l5;5s9c2;6df8c;6mvqv;6pwtk;75r9p;7hqvm;7jlmr;7kqlm;7l9cn;7ltbf;7xdzb;87d9p;87s2c;88zt4;8fk9t;8hgnj;8tx27;8zvhf;94568;96pqv;96w9n;9dbsm;9qrqk;b9qrg;bbdld;bbnnk;bdwvx;c72lw;c8ws2;cksxf;cppl6;crj2t;csbpb;d7s5n;dffbb;dfh79;dzpwp;f9h54;fc6xz;fjlmw;fl782;fncvm;fwprt;gw4n5;gzrgj;h4flp;hbw9w;hgskq;hjsbt;hxbkv;hz9pb;j6slb;jfzqr;jjkbg;jzwjz;k7l6c;k8v45;kg2dz;kht4z;kmjtv;kmr84;l2b46;l79mt;lg8vm;lkjmh;lkt9z;llxw4;lz54x;m698r;mlfxr;mq6jv;mt8ql;nb485;npt2d;pfqgw;q4l7j;q57lq;qgckn;ql6g9;r8h4w;rc668;rcn8d;rh2hn;rkqt2;s6hbz;sqvtr;tb7tc;tmdrq;twtmx;txv4d;v28tw;v5j4h;vh2p5;vnflw;vnfqz;vqtn6;vzn65;wzgd9;xcld4;xctl5;xfqkb;xt5x4;xz44z;z4k9b;z5bsj;zbh2v;zc69n;zcq5c;zxfvd;zxxdr;;
1:49:20;1:49:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.40%;;;;;;;;;;;
1:49:40;1:49:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
1:50:00;1:50:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.54%;;;;;;;;;;;
1:50:20;1:50:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.58%;;;;;;;;;;;
1:50:40;1:50:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.75%;;;;;;;;;;;
1:51:00;1:51:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.64%;;;;;;;;;;;
1:51:20;1:51:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.69%;;;;;;;;;;;
1:51:40;1:51:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.60%;;;;;;;;;;;
1:52:00;1:52:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.76%;;;;;;;;;;;
1:52:20;1:52:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.65%;;;;;;;;;;;
1:52:40;1:52:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.64%;;;;;;;;;;;
1:53:00;1:53:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08%;;;;;;;;;;;
1:53:20;1:53:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28%;;;;;;;;;;;
1:53:40;1:53:40;;;;;;;;;;;;;;;;;;;;;0.70%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.07%;;;;;;;;;;;
1:54:00;1:54:00;;;;;;;;;;;;;;;;;;;;;1.38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.01%;;;;;;;;;;;
1:54:20;1:54:20;;;;;;;;;;;;;;;;;;;;;1.11%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.01%;;;;;;0.70%;;;;;
1:54:40;1:54:40;;;;;;;;;;;;;;;;;;;;;1.06%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.98%;;;;;;1.34%;;;;;
1:55:00;1:55:00;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;;;;;;;;;;;;;;;;;;;;;0.61%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;1.06%;;;;;
1:55:20;1:55:20;;;;;;;;;;;;;;;;;;;;;0.97%;;;;;;;;;;;;;;;;;;;;;;;;;;1.31%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.92%;;;;;;1.04%;;;;;
1:55:40;1:55:40;;;;;;;;;;;;;;;;;;;;;0.90%;;;;;0.68%;;;;;;;;;;;;;;;;;;;;;1.12%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.71%;;;;;;0.82%;;;;;
1:56:00;1:56:00;;;;;;;;;;;;;;;;;;;;;0.96%;;;;;1.11%;;;;;;;;;;;;;;;;;;;;;0.96%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.80%;;;;;;0.90%;;;;;
1:56:20;1:56:20;;;;;;;;;;;;;;;;;;;;;0.68%;;;;;0.95%;;;;;;;;;;;;;;;;;;;;;0.71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.67%;;;;;;0.83%;;;;;
1:56:40;1:56:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
1:57:00;1:57:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.01%;;;;;;;;;;;
1:57:20;1:57:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.77%;;;;;;;;1.21%;;;
1:57:40;1:57:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.72%;;;;;;;;0.86%;;;
1:58:00;1:58:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.48%;;;;;;;;0.63%;;;
1:58:20;1:58:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.59%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.47%;;;;;;;;0.62%;;;
1:58:40;1:58:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.66%;;;;;;;;;;0.58%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.42%;;;;;;;;0.42%;;;
1:59:00;1:59:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.84%;;;;;;;;;;0.47%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.34%;;;;;;;;0.44%;;;
1:59:20;1:59:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.62%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.41%;;;;;;;;;;0.38%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35%;;;;;;;;0.34%;;;
1:59:40;1:59:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.61%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.44%;;;;;;;;;;0.39%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.33%;;;;;;;;0.38%;;;
2:00:00;2:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04%;;;;;;;;;;0.03%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.03%;;;;;;;;0.04%;;;
2:00:20;2:00:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.16%;;;;;;;;;;;
2:00:40;2:00:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35%;;;;;;;;;;;;;;;;1.06%;;;;;;;;;;;
2:01:00;2:01:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;;;;;;;;;1.06%;;;;;;;;;;;
2:01:20;2:01:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.37%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.19%;;;;;;;;;;;;;;;;1.04%;;;;;;;;;;;
2:01:40;2:01:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.11%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.09%;;;;;;;;;;;;;;;;1.02%;;;;;;;;;;;
2:02:00;2:02:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.45%;;;;;;;;;;;;;;;;;;;;;;;;0.32%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.05%;;;;;;;;;;;;;;;;0.93%;;;;;;;;;;;
2:02:20;2:02:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;;;;;;;;;;;;;;;;;;;1.10%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;;;;;;;;;;;0.83%;;;;;;;;;;;
2:02:40;2:02:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.93%;;;;;;0.00%;;;;;;;;;;;;;;;;;;1.46%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.90%;;;;;;;;;;;;;;;;0.94%;;;;;;;;;;;
2:03:00;2:03:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.87%;;;;;;1.06%;;;;;;;;;;;;;;;;;;1.05%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.89%;;;;;;;;;;;;;;;;0.86%;;;;;;;;;;;
2:03:20;2:03:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.77%;;;;;;1.06%;;;;;;;;;;;;;;;;;;0.74%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.77%;;;;;;;;;;;;;;;;0.76%;;;;;;;;;;;
2:03:40;2:03:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;0.00%;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;;;;;;0.00%;;;;;;;;;;;
2:04:00;2:04:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.55%;;;;;;;;;;;
2:04:20;2:04:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.52%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.56%;;;;;;;;;;;
2:04:40;2:04:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.58%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.41%;;;;;;;;;;;
2:05:00;2:05:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.42%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.33%;;;;;;;0.40%;;;;
2:05:20;2:05:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.34%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.31%;;;;;;;0.41%;;;;
2:05:40;2:05:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35%;;;;;0.39%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29%;;;;;;;0.31%;;;;
2:06:00;2:06:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.23%;;;;;0.35%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24%;;;;;;;0.31%;;;;
2:06:20;2:06:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25%;;;;;0.26%;;;;;;;;;;;;;0.31%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.20%;;;;;;;0.21%;;;;
2:06:40;2:06:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.22%;;;;;0.24%;;;;;;;;;;;;;0.20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.18%;;;;;;;0.23%;;;;
2:07:00;2:07:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.07%;;;;;0.08%;;;;;;;;;;;;;0.07%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.06%;;;;;;;0.04%;;;;
2:07:20;2:07:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.11%;;;;;;;;;;;
2:07:40;2:07:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.04%;;;;;;;;;;;
2:08:00;2:08:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.90%;;;;;;;;1.04%;;;;;;;;;;;
2:08:20;2:08:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.14%;;;;;;;;1.03%;;;;;;;;;;;
2:08:40;2:08:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.04%;;;1.05%;;;;;;;;1.03%;;;;;;;;;;;
2:09:00;2:09:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.90%;;;0.86%;;;;;;;;1.03%;;;;;;;;;;;
2:09:20;2:09:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.91%;;;;;;;;0.99%;;;0.85%;;;;;;;;1.02%;;;;;;;;;;;
2:09:40;2:09:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.03%;;;;;;;;0.99%;;;1.04%;;;;;;;;1.01%;;;;;;;;;;;
2:10:00;2:10:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.97%;;;;;;;;1.01%;;;1.01%;;;;;1.04%;;;1.00%;;;;;;;;;;;
2:10:20;2:10:20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.95%;;;;;;;;0.92%;;;1.00%;;;;;1.00%;;;0.97%;;;;;;;;;;;
2:10:40;2:10:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00%;;;;;;;;0.00%;;;0.00%;;;;;0.00%;;;0.00%;;;;;;;;;;;
2:11:00;2:11:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35%;;;;;;;;;;;
2:11:20;2:11:20;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.69%;;;;;;;;;;;
2:11:40;2:11:40;;;;;;;;;;;;;;;;;;;;;;;;;;;0.58%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.32%;;;;;;;;;;;
2:12:00;2:12:00;;;;;;;;;;;;;;;;;;;;;;;;;;;0.46%;;;;;;;;;0.28%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.42%;;;;;;;;;;;
2:12:20;2:12:20;;;;;;;;;;;;;;;;;;;;;;;;;;;0.29%;;;;;;;;;0.37%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25%;;;;;;;;;;;
2:12:40;2:12:40;;;;;;;;;;;;;;;0.25%;;;;;;;;;;;;0.30%;;;;;;;;;0.35%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25%;;;;;;;;;;;
