sep=,
"Time","reducirimagen-755894457-44kpf","reducirimagen-755894457-bdsh5","reducirimagen-755894457-g2kft","reducirimagen-755894457-gcktk","reducirimagen-755894457-hzcng","reducirimagen-755894457-jfrcb","reducirimagen-755894457-jlvh4","reducirimagen-755894457-mngpf","reducirimagen-755894457-qqvpj","reducirimagen-755894457-qrk6x","reducirimagen-755894457-sdvzf","reducirimagen-755894457-wtd7j","reducirimagen-755894457-xch5x","reducirimagen-755894457-zhvt9"
2025-04-06 21:34:04,,,,,,,,,,,,170 MB,,214 MB
2025-04-06 21:34:06,,,,,,,,,,,,170 MB,,214 MB
2025-04-06 21:34:08,,,,,,,,,,,,170 MB,,214 MB
2025-04-06 21:34:10,,,,,,,,,,,,170 MB,,214 MB
2025-04-06 21:34:12,,,,,,,,,,,,179 MB,,214 MB
2025-04-06 21:34:14,,,,,,,,,,,,179 MB,,216 MB
2025-04-06 21:34:16,,,,,,,,,,,,179 MB,,216 MB
2025-04-06 21:34:18,,,,,,,,,,,0 B,179 MB,,216 MB
2025-04-06 21:34:20,,,,,,,,,,,0 B,179 MB,,216 MB
2025-04-06 21:34:22,,,,,,,,,,,0 B,179 MB,,216 MB
2025-04-06 21:34:24,,,,,,,,,,,0 B,179 MB,,221 MB
2025-04-06 21:34:26,,,,,,,,,,,0 B,179 MB,,221 MB
2025-04-06 21:34:28,,,,,,,,,,,0 B,179 MB,,221 MB
2025-04-06 21:34:30,,,,,,,,,,,166 MB,179 MB,,221 MB
2025-04-06 21:34:32,,,,,,,,,,,166 MB,197 MB,,221 MB
2025-04-06 21:34:34,,,,,,,,,,,166 MB,197 MB,,223 MB
2025-04-06 21:34:36,,,,,,,,,,,166 MB,197 MB,,223 MB
2025-04-06 21:34:38,,,,,,,,,,,166 MB,197 MB,,223 MB
2025-04-06 21:34:40,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:42,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:44,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:46,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:48,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:50,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:52,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:54,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:56,,,,,,,,,,,168 MB,197 MB,,223 MB
2025-04-06 21:34:58,,,,,0 B,,,,,,173 MB,198 MB,,223 MB
2025-04-06 21:35:00,,,,,0 B,,,,,,173 MB,198 MB,,223 MB
2025-04-06 21:35:02,,,,,0 B,,,,,,173 MB,198 MB,,223 MB
2025-04-06 21:35:04,,,,,0 B,,,,,,173 MB,198 MB,,223 MB
2025-04-06 21:35:06,,,,,0 B,,,,,,173 MB,198 MB,,223 MB
2025-04-06 21:35:08,,,,,0 B,,,,,,173 MB,198 MB,,223 MB
2025-04-06 21:35:10,,,,,0 B,,,,,,193 MB,198 MB,,226 MB
2025-04-06 21:35:12,,,,,0 B,,,,,,193 MB,198 MB,,226 MB
2025-04-06 21:35:14,,,,,169 MB,,,,,,193 MB,198 MB,,226 MB
2025-04-06 21:35:16,,,,,169 MB,,,,,,193 MB,198 MB,,226 MB
2025-04-06 21:35:18,,,,,169 MB,,,,,,193 MB,198 MB,,226 MB
2025-04-06 21:35:20,,,,,169 MB,,,,,,193 MB,198 MB,,226 MB
2025-04-06 21:35:22,,,,,169 MB,,,,,,193 MB,199 MB,,226 MB
2025-04-06 21:35:24,,,,,169 MB,,,,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:26,,,,,169 MB,,,,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:28,,,,,169 MB,,,,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:30,,,,,167 MB,,,,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:32,,,,,167 MB,,,,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:34,,,,,167 MB,,,,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:36,,,,,167 MB,,,,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:38,,,,,167 MB,,,0 B,,,193 MB,199 MB,,227 MB
2025-04-06 21:35:40,,,,,167 MB,,,0 B,,,193 MB,199 MB,,228 MB
2025-04-06 21:35:42,,,,,168 MB,,,0 B,,,193 MB,199 MB,,228 MB
2025-04-06 21:35:44,,,,,168 MB,,,0 B,,,194 MB,199 MB,,228 MB
2025-04-06 21:35:46,,,,,168 MB,,,0 B,,,194 MB,199 MB,,228 MB
2025-04-06 21:35:48,,,,,168 MB,,,0 B,,,194 MB,199 MB,,228 MB
2025-04-06 21:35:50,,,,,168 MB,,,0 B,,,194 MB,199 MB,,228 MB
2025-04-06 21:35:52,,,,,168 MB,,,0 B,,,194 MB,199 MB,,228 MB
2025-04-06 21:35:54,,,,,168 MB,,,0 B,,,194 MB,199 MB,,228 MB
2025-04-06 21:35:56,,,,,168 MB,,,0 B,,,194 MB,199 MB,,228 MB
2025-04-06 21:35:58,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,228 MB
2025-04-06 21:36:00,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:02,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:04,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:06,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:08,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:10,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:12,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:14,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:16,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:18,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:20,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:22,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:24,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:26,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:28,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:30,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:32,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:34,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:36,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:38,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:40,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:42,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:44,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:46,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:48,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:50,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:52,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:54,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:56,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:36:58,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:37:00,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:37:02,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,244 MB
2025-04-06 21:37:04,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,241 MB
2025-04-06 21:37:06,,,,,168 MB,,,348 kB,,,193 MB,199 MB,,241 MB
2025-04-06 21:37:08,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,241 MB
2025-04-06 21:37:10,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,241 MB
2025-04-06 21:37:12,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,241 MB
2025-04-06 21:37:14,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,241 MB
2025-04-06 21:37:16,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,241 MB
2025-04-06 21:37:18,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,241 MB
2025-04-06 21:37:20,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,241 MB
2025-04-06 21:37:22,,,,,168 MB,,,348 kB,0 B,,193 MB,199 MB,,242 MB
2025-04-06 21:37:24,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:26,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:28,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:30,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:32,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:34,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:36,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:38,,,,,168 MB,,,348 kB,168 MB,,193 MB,199 MB,,242 MB
2025-04-06 21:37:40,,,,,168 MB,,,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:42,,,,,168 MB,,,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:44,,,,,168 MB,,,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:46,,,,,168 MB,,,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:48,,,,,168 MB,,0 B,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:50,,,,,168 MB,,0 B,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:52,,,,,168 MB,,0 B,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:54,,,,,168 MB,,0 B,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:56,,,,,168 MB,,0 B,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:37:58,,,,,168 MB,,0 B,348 kB,179 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:00,,,,,168 MB,,0 B,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:02,,,,,168 MB,,0 B,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:04,,,,,168 MB,,166 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:06,,,,,168 MB,,166 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:08,,,,,168 MB,,166 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:10,,,,,168 MB,,166 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:12,,,,,168 MB,,166 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:14,,,,,168 MB,,166 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:16,,,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:18,,,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:20,,,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:22,,,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:24,,,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:26,,,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:28,,0 B,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:30,,0 B,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:32,,0 B,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:34,,0 B,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:36,,0 B,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:38,,0 B,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:40,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:42,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:44,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:46,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:48,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:50,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:52,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:54,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:56,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:38:58,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:00,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:02,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:04,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:06,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:08,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:10,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:12,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:14,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:16,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:18,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:20,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:22,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:24,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:26,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:28,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:30,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:32,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:34,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:36,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:38,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:40,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:42,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:44,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:46,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:48,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:50,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:52,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:54,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:56,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:39:58,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:40:00,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:40:02,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:40:04,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:40:06,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:40:08,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,243 MB
2025-04-06 21:40:10,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,244 MB
2025-04-06 21:40:12,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,244 MB
2025-04-06 21:40:14,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,244 MB
2025-04-06 21:40:16,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,244 MB
2025-04-06 21:40:18,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,244 MB
2025-04-06 21:40:20,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,244 MB
2025-04-06 21:40:22,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,,193 MB,199 MB,,244 MB
2025-04-06 21:40:24,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:26,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:28,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:30,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:32,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:34,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:36,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:38,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:40,,344 kB,,,168 MB,,168 MB,348 kB,195 MB,0 B,193 MB,199 MB,,244 MB
2025-04-06 21:40:42,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:44,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:46,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:48,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:50,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:52,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:54,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:56,,344 kB,,,,,168 MB,348 kB,195 MB,170 MB,193 MB,199 MB,,244 MB
2025-04-06 21:40:58,,344 kB,,,,,168 MB,,195 MB,170 MB,,,,244 MB
2025-04-06 21:41:00,,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:02,,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:04,0 B,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:06,0 B,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:08,0 B,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:10,0 B,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:12,0 B,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:14,0 B,344 kB,,,,,168 MB,,195 MB,179 MB,,,,244 MB
2025-04-06 21:41:16,0 B,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:18,0 B,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:20,165 MB,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:22,165 MB,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:24,165 MB,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:26,165 MB,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:28,165 MB,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:30,165 MB,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:32,165 MB,344 kB,,,,,168 MB,,195 MB,195 MB,,,,244 MB
2025-04-06 21:41:34,165 MB,344 kB,,,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:36,175 MB,344 kB,,,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:38,175 MB,344 kB,,,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:40,175 MB,344 kB,,,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:42,175 MB,344 kB,,,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:44,175 MB,344 kB,,0 B,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:46,175 MB,344 kB,,0 B,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:48,175 MB,344 kB,,0 B,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:50,175 MB,344 kB,,0 B,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:52,175 MB,344 kB,,0 B,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:54,174 MB,344 kB,,0 B,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:56,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:41:58,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:00,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:02,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:04,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:06,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:08,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
2025-04-06 21:42:10,174 MB,344 kB,,360 kB,,,168 MB,,195 MB,196 MB,,,,244 MB
