"Time","reducirimagen-755894457-62vzv","reducirimagen-755894457-69f76","reducirimagen-755894457-6tmp4","reducirimagen-755894457-7k9pb","reducirimagen-755894457-7vvxr","reducirimagen-755894457-8hvwt","reducirimagen-755894457-bvtjq","reducirimagen-755894457-chsv9","reducirimagen-755894457-fvcl2","reducirimagen-755894457-fzdr4","reducirimagen-755894457-hgjmm","reducirimagen-755894457-hxqk6","reducirimagen-755894457-m6bfg","reducirimagen-755894457-qhlz9","reducirimagen-755894457-tn9g6","reducirimagen-755894457-wdbtr","reducirimagen-755894457-wh8w7","reducirimagen-755894457-zhvt9"
2025-04-07 22:35:40,,,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:42,,,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:44,,,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:46,,,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:48,,,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:50,,,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:52,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:54,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:56,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,210 MB
2025-04-07 22:35:58,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:00,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:02,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:04,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:06,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:08,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:10,,0 B,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:12,,176 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:14,,176 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:16,,176 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:18,,176 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:20,,176 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:22,,177 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:24,,177 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:26,,177 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:28,,177 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:30,,177 MB,197 MB,,172 MB,,,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:32,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:34,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:36,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:38,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:40,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:42,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:44,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:46,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:48,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:50,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:52,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,211 MB
2025-04-07 22:36:54,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:36:56,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:36:58,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:00,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:02,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:04,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:06,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:08,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:10,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:12,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:14,,177 MB,197 MB,,172 MB,,0 B,,,,,,889 kB,,198 MB,,,212 MB
2025-04-07 22:37:16,,177 MB,197 MB,,,,0 B,,,,,,889 kB,,,,,212 MB
2025-04-07 22:37:18,,177 MB,,,,,0 B,,,,,,889 kB,,,,,212 MB
2025-04-07 22:37:20,,177 MB,,,,,0 B,,,,,,889 kB,,,,,212 MB
2025-04-07 22:37:22,,177 MB,,,,,0 B,,,,,,889 kB,,,,,212 MB
2025-04-07 22:37:24,,177 MB,,,,,0 B,,,,,,889 kB,,,,,212 MB
2025-04-07 22:37:26,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:28,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:30,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:32,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:34,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:36,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:38,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:40,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:42,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:44,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:46,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:48,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:50,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:52,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:54,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:56,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:37:58,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:00,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:02,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:04,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:06,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:08,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:10,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:12,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:14,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:16,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:18,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:20,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:22,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:24,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:26,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:28,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:30,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:32,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:34,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:36,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:38,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:40,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:42,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:44,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:46,,177 MB,,,,,0 B,,,,,,,,,,,211 MB
2025-04-07 22:38:48,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:50,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:52,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:54,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:56,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:38:58,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:00,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:02,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:04,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:06,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:08,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:10,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:12,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:14,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:16,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:18,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:20,,177 MB,,,,,0 B,,,,,,,,,,,212 MB
2025-04-07 22:39:22,,177 MB,,,,,0 B,,,,,,,,,,0 B,212 MB
2025-04-07 22:39:24,,177 MB,,,,,0 B,,,,,,,,,,0 B,212 MB
2025-04-07 22:39:26,,177 MB,,,,,0 B,,,,,,,,,,0 B,212 MB
2025-04-07 22:39:28,,177 MB,,,,,0 B,,,,,,,,,,0 B,212 MB
2025-04-07 22:39:30,,177 MB,,,,,0 B,,,,,,,,,,0 B,212 MB
2025-04-07 22:39:32,,177 MB,,,,,0 B,,,,,,,,,,0 B,212 MB
2025-04-07 22:39:34,,177 MB,,,,,0 B,,,,,,,,,,0 B,213 MB
2025-04-07 22:39:36,,177 MB,,,,,0 B,,,,,,,,,,167 MB,213 MB
2025-04-07 22:39:38,,177 MB,,,,,0 B,,,,,,,,,,167 MB,213 MB
2025-04-07 22:39:40,,177 MB,,,,,0 B,,,,,,,,,,167 MB,213 MB
2025-04-07 22:39:42,,177 MB,,,,,0 B,,,,,,,,,,167 MB,213 MB
2025-04-07 22:39:44,,177 MB,,,,,0 B,,,,,,,,,,167 MB,213 MB
2025-04-07 22:39:46,,177 MB,,,,,0 B,,,,,,,,,,167 MB,213 MB
2025-04-07 22:39:48,,177 MB,,,,,0 B,,,,,,,,,,167 MB,213 MB
2025-04-07 22:39:50,,177 MB,,,,,0 B,,,,,,,,,,175 MB,213 MB
2025-04-07 22:39:52,,177 MB,,,,,0 B,,,,,,,,,,175 MB,213 MB
2025-04-07 22:39:54,,177 MB,,,,,0 B,,,,,,,,,,175 MB,213 MB
2025-04-07 22:39:56,,177 MB,,,,,0 B,,,,,,,,,,175 MB,213 MB
2025-04-07 22:39:58,,177 MB,,,,,0 B,,,,,,,,,,175 MB,213 MB
2025-04-07 22:40:00,,177 MB,,,,,0 B,,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:02,,177 MB,,,,,0 B,0 B,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:04,,177 MB,,,,,0 B,0 B,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:06,,177 MB,,,,,0 B,0 B,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:08,,177 MB,,,,,0 B,0 B,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:10,,177 MB,,,,,0 B,0 B,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:12,,177 MB,,,,,0 B,0 B,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:14,,177 MB,,,,,0 B,0 B,,,,,,,,,178 MB,213 MB
2025-04-07 22:40:16,,177 MB,,,,,0 B,0 B,,,,,,,,,193 MB,213 MB
2025-04-07 22:40:18,,177 MB,,,,,0 B,167 MB,,,,,,,,,193 MB,213 MB
2025-04-07 22:40:20,,177 MB,,,,,0 B,167 MB,,,,,,,,,193 MB,213 MB
2025-04-07 22:40:22,,177 MB,,,,,0 B,167 MB,,,,,,,,,193 MB,213 MB
2025-04-07 22:40:24,,177 MB,,,,,0 B,167 MB,,,,,,,,,193 MB,213 MB
2025-04-07 22:40:26,,177 MB,,,,,0 B,167 MB,,,,,,,,,193 MB,213 MB
2025-04-07 22:40:28,,177 MB,,,,,0 B,167 MB,,,,,,,,,194 MB,213 MB
2025-04-07 22:40:30,,177 MB,,,,,0 B,167 MB,,,,,,,,,194 MB,213 MB
2025-04-07 22:40:32,,177 MB,,,,,0 B,167 MB,,,,,,,,,194 MB,213 MB
2025-04-07 22:40:34,,177 MB,,,,,0 B,175 MB,,,,,,,,,194 MB,213 MB
2025-04-07 22:40:36,,177 MB,,,,,0 B,175 MB,,,,,,,,,194 MB,213 MB
2025-04-07 22:40:38,,177 MB,,,,,0 B,175 MB,,,,,,,,,194 MB,211 MB
2025-04-07 22:40:40,,177 MB,,,,,0 B,175 MB,,,,,,,,,194 MB,211 MB
2025-04-07 22:40:42,,177 MB,,,,0 B,0 B,175 MB,,,,,,,,,194 MB,211 MB
2025-04-07 22:40:44,,177 MB,,,,0 B,0 B,175 MB,,,,,,,,,194 MB,211 MB
2025-04-07 22:40:46,,177 MB,,,,0 B,0 B,175 MB,,,,,,,,,194 MB,211 MB
2025-04-07 22:40:48,,177 MB,,,,0 B,0 B,175 MB,,,,,,,,,194 MB,211 MB
2025-04-07 22:40:50,,177 MB,,,,0 B,0 B,175 MB,,,,,,,,,194 MB,211 MB
2025-04-07 22:40:52,,177 MB,,,,0 B,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:40:54,,177 MB,,,,0 B,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:40:56,,177 MB,,,,0 B,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:40:58,,177 MB,,,,165 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:00,,177 MB,,,,165 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:02,,177 MB,,,,165 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:04,,177 MB,,,,165 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:06,,177 MB,,,,165 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:08,,177 MB,,,,165 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:10,,177 MB,,,,166 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:12,,177 MB,,,,166 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:14,,177 MB,,,,166 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:16,,177 MB,,,,166 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:18,,177 MB,,,,166 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:20,,177 MB,,,,166 MB,0 B,192 MB,,,,,,,,,195 MB,211 MB
2025-04-07 22:41:22,,177 MB,,,,166 MB,0 B,192 MB,,0 B,,,,,,,195 MB,211 MB
2025-04-07 22:41:24,,177 MB,,,,166 MB,0 B,192 MB,,0 B,,,,,,,195 MB,211 MB
2025-04-07 22:41:26,,177 MB,,,,166 MB,0 B,192 MB,,0 B,,,,,,,195 MB,211 MB
2025-04-07 22:41:28,,177 MB,,,,166 MB,0 B,192 MB,,0 B,,,,,,,195 MB,209 MB
2025-04-07 22:41:30,,177 MB,,,,166 MB,0 B,192 MB,,0 B,,,,,,,195 MB,209 MB
2025-04-07 22:41:32,,177 MB,,,,166 MB,,192 MB,,0 B,,,,,,,195 MB,209 MB
2025-04-07 22:41:34,,,,,,166 MB,,192 MB,,0 B,,,,,,,195 MB,209 MB
2025-04-07 22:41:36,,,,,,167 MB,,192 MB,,0 B,,,,,,,195 MB,209 MB
2025-04-07 22:41:38,,,,,,167 MB,,192 MB,,0 B,,,,,,,195 MB,209 MB
2025-04-07 22:41:40,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:42,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:44,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:46,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:48,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:50,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:52,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:54,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:56,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:41:58,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:00,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:02,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:04,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:06,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:08,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:10,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:12,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:14,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:16,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:18,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:20,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:22,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:24,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:26,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:28,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:30,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,208 MB
2025-04-07 22:42:32,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:34,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:36,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:38,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:40,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:42,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:44,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:46,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:48,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:50,,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:52,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:54,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:56,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:42:58,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:00,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:02,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:04,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:06,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:08,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:10,0 B,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:12,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:14,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:16,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:18,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:20,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:22,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:24,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:26,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:28,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:30,171 MB,,,,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:32,179 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:34,179 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:36,179 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:38,179 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:40,179 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:42,179 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:44,179 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:46,200 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:48,200 MB,,,0 B,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
2025-04-07 22:43:50,200 MB,,,171 MB,,167 MB,,192 MB,,778 kB,,,,,,,195 MB,210 MB
