sep=,
"Time","reducirimagen-755894457-2dwpd","reducirimagen-755894457-2nqj2","reducirimagen-755894457-6pc9g","reducirimagen-755894457-6q5m5","reducirimagen-755894457-6xrp6","reducirimagen-755894457-798hp","reducirimagen-755894457-7xwkm","reducirimagen-755894457-8xbk5","reducirimagen-755894457-bwsr6","reducirimagen-755894457-cgd2k","reducirimagen-755894457-dvw22","reducirimagen-755894457-fs6fk","reducirimagen-755894457-fvp9d","reducirimagen-755894457-fwtfs","reducirimagen-755894457-gcgbr","reducirimagen-755894457-hlz85","reducirimagen-755894457-j29q8","reducirimagen-755894457-j8rp8","reducirimagen-755894457-jcjhb","reducirimagen-755894457-jclgd","reducirimagen-755894457-krcrr","reducirimagen-755894457-lcp7m","reducirimagen-755894457-lhss9","reducirimagen-755894457-mdpdd","reducirimagen-755894457-mwqjp","reducirimagen-755894457-ngfdz","reducirimagen-755894457-nv2rd","reducirimagen-755894457-pb55s","reducirimagen-755894457-pxsqg","reducirimagen-755894457-q6tkg","reducirimagen-755894457-qk654","reducirimagen-755894457-r4scc","reducirimagen-755894457-slz2k","reducirimagen-755894457-t8v66","reducirimagen-755894457-vd95h","reducirimagen-755894457-vnqdn","reducirimagen-755894457-vx5m8","reducirimagen-755894457-w6xnw","reducirimagen-755894457-wxhsr","reducirimagen-755894457-xpnnj","reducirimagen-755894457-zhvt9"
2025-04-15 15:22:40,196 MB,,,,,,,,,,,,,,,,,,,,,,194 MB,,,196 MB,,,,,,,205 MB,,,,,,,,225 MB
2025-04-15 15:23:00,196 MB,,,,,,,,,,,,,,,,,,,,,,195 MB,,,197 MB,,,,,,,206 MB,,,,,,,,226 MB
2025-04-15 15:23:20,197 MB,,,,,,,,,,,,,,,,,,,,,,196 MB,,,197 MB,,,,,,,206 MB,,,,,,,,226 MB
2025-04-15 15:23:40,198 MB,,,,,,,,,,,,,,,,,,,,,,196 MB,,,198 MB,,,,,,,211 MB,,,,,,,,228 MB
2025-04-15 15:24:00,199 MB,,,,,,,,,,,,,,,,,,,,,,197 MB,,,197 MB,,,,,,,206 MB,,,,,,,,228 MB
2025-04-15 15:24:20,199 MB,,,,,,,,,,,,,,,,,,,,,,197 MB,,,198 MB,,,,,,,206 MB,,,,,,,,228 MB
2025-04-15 15:24:40,200 MB,,,,,,,,,,,,,,,,,,,,,,197 MB,,,198 MB,,,,,,,207 MB,,,,,,,,228 MB
2025-04-15 15:25:00,200 MB,,,,,,,,,,,,,,,,,,,,,,197 MB,,,198 MB,,,,,,,207 MB,,,,,,,,229 MB
2025-04-15 15:25:20,200 MB,,,,,,,,,,,,,,,,,,,,,,197 MB,,,198 MB,,,,,,,207 MB,,,,,,,,233 MB
2025-04-15 15:25:40,201 MB,,,,,,,,,,,,,,,,,,,,,,198 MB,,,199 MB,,,,,,,207 MB,,,,,,,,233 MB
2025-04-15 15:26:00,201 MB,,,,,,,,,,,,,,,,,,,,,,198 MB,,,199 MB,,,,,,,207 MB,,,,,,,,233 MB
2025-04-15 15:26:20,201 MB,,,,,,,,,,,,,,,,,,,,,,198 MB,,,208 MB,,,,,,,208 MB,,,,,,,,233 MB
2025-04-15 15:26:40,201 MB,,,,,,,,,,,,,,,,,,,,,,198 MB,,,202 MB,,,,,,,208 MB,,,,,,,,234 MB
2025-04-15 15:27:00,201 MB,,,,,,,,,,,,,,,,,,,,,,200 MB,,,202 MB,,,,,,,208 MB,,,,,,,,234 MB
2025-04-15 15:27:20,201 MB,,,,,,,,,,,,,,,,,,,,,,200 MB,,,202 MB,,,,,,,208 MB,,,,,,,,234 MB
2025-04-15 15:27:40,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,208 MB,,,,,,,,234 MB
2025-04-15 15:28:00,200 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,208 MB,,,,,,,,234 MB
2025-04-15 15:28:20,199 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,208 MB,,,,,,,,235 MB
2025-04-15 15:28:40,199 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,203 MB,,,,,,,208 MB,,,,,,,,236 MB
2025-04-15 15:29:00,200 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,203 MB,,,,,,,209 MB,,,,,,,,236 MB
2025-04-15 15:29:20,200 MB,,,,,,,,,,,,,,,,,,,,,,202 MB,,,203 MB,,,,,,,219 MB,,,,,,,,237 MB
2025-04-15 15:29:40,200 MB,,,,,,,,,,,,,,,,,,,,,,202 MB,,,203 MB,,,,,,,207 MB,,,,,,,,237 MB
2025-04-15 15:30:00,200 MB,,,,,,,,,,,,,,,,,,,,,,202 MB,,,203 MB,,,,,,,207 MB,,,,,,,,237 MB
2025-04-15 15:30:20,201 MB,,,,,,,,,,,,,,,,,,,,,,202 MB,,,203 MB,,,,,,,208 MB,,,,,,,,237 MB
2025-04-15 15:30:40,201 MB,,,,,,,,,,,,,,,,,,,,,,202 MB,,,201 MB,,,,,,,208 MB,,,,,,,,238 MB
2025-04-15 15:31:00,201 MB,,,,,,,,,,,,,,,,,,,,,,202 MB,,,201 MB,,,,,,,207 MB,,,,,,,,238 MB
2025-04-15 15:31:20,201 MB,,,,,,,,,,,,,,,,,,,,,,213 MB,,,201 MB,,,,,,,208 MB,,,,,,,,238 MB
2025-04-15 15:31:40,203 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,201 MB,,,,,,,208 MB,,,,,,,,238 MB
2025-04-15 15:32:00,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,201 MB,,,,,,,208 MB,,,,,,,,238 MB
2025-04-15 15:32:20,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,201 MB,,,,,,,208 MB,,,,,,,,239 MB
2025-04-15 15:32:40,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,240 MB
2025-04-15 15:33:00,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,240 MB
2025-04-15 15:33:20,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,240 MB
2025-04-15 15:33:40,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,241 MB
2025-04-15 15:34:00,204 MB,,,,,,,,,,,,,,,,,,,,,,202 MB,,,202 MB,,,,,,,209 MB,,,,,,,,241 MB
2025-04-15 15:34:20,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,241 MB
2025-04-15 15:34:40,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,241 MB
2025-04-15 15:35:00,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,249 MB
2025-04-15 15:35:20,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,249 MB
2025-04-15 15:35:40,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,249 MB
2025-04-15 15:36:00,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,249 MB
2025-04-15 15:36:20,204 MB,,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,249 MB
2025-04-15 15:36:40,204 MB,0 B,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,250 MB
2025-04-15 15:37:00,204 MB,172 MB,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,,,,209 MB,,,,,,,,252 MB
2025-04-15 15:37:20,204 MB,179 MB,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,0 B,,,209 MB,,,,,,,,252 MB
2025-04-15 15:37:40,204 MB,204 MB,,,,,,,,,,,,,,,,,,,,,201 MB,,,202 MB,,,,175 MB,,,209 MB,,,,,,,,252 MB
2025-04-15 15:38:00,204 MB,204 MB,,,,,,,,,,,,,,,,0 B,,,,,201 MB,,,202 MB,,,,179 MB,,,209 MB,,,,,,,,252 MB
2025-04-15 15:38:20,204 MB,205 MB,,,,,,,,,,,,,,,,169 MB,,,,,201 MB,,,202 MB,,,,202 MB,,,209 MB,,,,,,,,252 MB
2025-04-15 15:38:40,204 MB,205 MB,,,,,,,,,,,,,,,0 B,174 MB,,,,,201 MB,,,202 MB,,,,202 MB,,,209 MB,,,,,,,,252 MB
2025-04-15 15:39:00,204 MB,206 MB,,,,,,,,,,,,,,,162 MB,201 MB,,,,,201 MB,,,202 MB,,,,202 MB,,,209 MB,,,,,,,,252 MB
2025-04-15 15:39:20,,206 MB,,,,,,,,,,,,,,,168 MB,201 MB,,,,,201 MB,,,,,,,203 MB,,,,,,,,,,,252 MB
2025-04-15 15:39:40,,206 MB,,,,,,,,,,,,,,,178 MB,202 MB,,,,,,,,,,,,203 MB,,,,,,,,,,,251 MB
2025-04-15 15:40:00,,207 MB,,,,,,,,,,,,,,,194 MB,203 MB,,,,,,,,,,,,204 MB,,,,,,,,,,,252 MB
2025-04-15 15:40:20,,207 MB,,,,,,,,,,,,,,,199 MB,203 MB,,,,,,,,,,,,204 MB,,,,,,,,,,,251 MB
2025-04-15 15:40:40,,207 MB,,,,,,,,,,,,,,,201 MB,204 MB,,,,,,,,,,,,205 MB,,,,,,,,,,,252 MB
2025-04-15 15:41:00,,207 MB,,,,,,,,,,,,,,,201 MB,204 MB,,,,,,,,,,,,205 MB,,,,,,,,,,,252 MB
2025-04-15 15:41:20,,207 MB,,,,,,,,,,,,,,,201 MB,204 MB,,,,,,,,,,,,205 MB,,,,,,,,,,,252 MB
2025-04-15 15:41:40,,208 MB,,,,,,,,,,,,,,,202 MB,205 MB,,,,,,,,,,,,205 MB,,,,,,,,,,,252 MB
2025-04-15 15:42:00,,208 MB,,,,,,,,,,,,,,,202 MB,205 MB,,,,,,,,,,,,205 MB,,,,,,,,,,,251 MB
2025-04-15 15:42:20,,208 MB,,,,,,,,,,,,,,,203 MB,205 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,249 MB
2025-04-15 15:42:40,,206 MB,,,,,,,,,,,,,,,203 MB,205 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,248 MB
2025-04-15 15:43:00,,206 MB,,,,,,,,,,,,,,,203 MB,205 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,248 MB
2025-04-15 15:43:20,,206 MB,,,,,,,,,,,,,,,203 MB,206 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,248 MB
2025-04-15 15:43:40,,207 MB,,,,,,,,,,,,,,,203 MB,206 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,249 MB
2025-04-15 15:44:00,,207 MB,,,,,,,,,,,,,,,203 MB,206 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,254 MB
2025-04-15 15:44:20,,207 MB,,,,,,,,,,,,,,,203 MB,207 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,249 MB
2025-04-15 15:44:40,,207 MB,,,,,,,,,,,,,,,204 MB,207 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,249 MB
2025-04-15 15:45:00,,207 MB,,,,,,,,,,,,,,,204 MB,207 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,249 MB
2025-04-15 15:45:20,,207 MB,,,,,,,,,,,,,,,204 MB,207 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,249 MB
2025-04-15 15:45:40,,213 MB,,,,,,,,,,,,,,,205 MB,207 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,249 MB
2025-04-15 15:46:00,,207 MB,,,,,,,,,,,,,,,205 MB,207 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,249 MB
2025-04-15 15:46:20,,207 MB,,,,,,,,,,,,,,,205 MB,208 MB,,,,,,,,,,,,208 MB,,,,,,,,,,,249 MB
2025-04-15 15:46:40,,208 MB,,,,,,,,,,,,,,,205 MB,207 MB,,,,,,,,,,,,208 MB,,,,,,,,,,,250 MB
2025-04-15 15:47:00,,212 MB,,,,,,,,,,,,,,,205 MB,206 MB,,,,,,,,,,,,208 MB,,,,,,,,,,,250 MB
2025-04-15 15:47:20,,213 MB,,,,,,,,,,,,,,,205 MB,206 MB,,,,,,,,,,,,208 MB,,,,,,,,,,,250 MB
2025-04-15 15:47:40,,213 MB,,,,,,,,,,,,,,,206 MB,206 MB,,,,,,,,,,,,208 MB,,,,,,,,,,,250 MB
2025-04-15 15:48:00,,213 MB,,,,,,,,,,,,,,,206 MB,207 MB,,,,,,,,,,,,208 MB,,,,,,,,,,,250 MB
2025-04-15 15:48:20,,213 MB,,,,,,,,,,,,,,,206 MB,207 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,250 MB
2025-04-15 15:48:40,,213 MB,,,,,,,,,,,,,,,206 MB,207 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,250 MB
2025-04-15 15:49:00,,214 MB,,,,,,,,,,,,,,,206 MB,207 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,250 MB
2025-04-15 15:49:20,,214 MB,,,,,,,,,,,,,,,206 MB,207 MB,,,,,,,,,,,,206 MB,,,,,,,,,,,251 MB
2025-04-15 15:49:40,,214 MB,,,,,,,,,,,,,,,206 MB,207 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,250 MB
2025-04-15 15:50:00,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,250 MB
2025-04-15 15:50:20,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,250 MB
2025-04-15 15:50:40,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,250 MB
2025-04-15 15:51:00,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,251 MB
2025-04-15 15:51:20,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,250 MB
2025-04-15 15:51:40,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,251 MB
2025-04-15 15:52:00,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,251 MB
2025-04-15 15:52:20,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,251 MB
2025-04-15 15:52:40,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,251 MB
2025-04-15 15:53:00,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,251 MB
2025-04-15 15:53:20,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,,,,,,,,251 MB
2025-04-15 15:53:40,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,0 B,,,,,,,252 MB
2025-04-15 15:54:00,,214 MB,,,,,,,,,,,,,,,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,177 MB,,,,,,,256 MB
2025-04-15 15:54:20,,214 MB,,,,,,,,,,,,,,0 B,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,182 MB,,,,,,,256 MB
2025-04-15 15:54:40,,214 MB,,,,,,,,,,,,,,169 MB,207 MB,208 MB,,,,,,,,,,,,207 MB,,,,202 MB,,,,,,,256 MB
2025-04-15 15:55:00,,214 MB,,,,,,,,,,,,,,172 MB,207 MB,208 MB,,,,,,,,,,,,207 MB,,0 B,,204 MB,,,,,,,256 MB
2025-04-15 15:55:20,,214 MB,,,,,,,,,,,,,,194 MB,207 MB,208 MB,,,,,,,,,,,,207 MB,,165 MB,,204 MB,,,,,,,256 MB
2025-04-15 15:55:40,,214 MB,,,,,,,0 B,,,,,,,195 MB,207 MB,208 MB,,,,,,,,,,,,207 MB,,174 MB,,205 MB,,,,,,,256 MB
2025-04-15 15:56:00,,214 MB,,,,,,,165 MB,,,,,,,196 MB,207 MB,208 MB,,,,,,,,,,,,207 MB,,194 MB,,205 MB,,,,,,,256 MB
2025-04-15 15:56:20,,,,,,,,,168 MB,,,,,,,196 MB,,208 MB,,,,,,,,,,,,,,194 MB,,205 MB,,,,,,,254 MB
2025-04-15 15:56:40,,,,,,,,,176 MB,,,,,,,197 MB,,,,,,,,,,,,,,,,195 MB,,205 MB,,,,,,,255 MB
2025-04-15 15:57:00,,,,,,,,,198 MB,,,,,,,197 MB,,,,,,,,,,,,,,,,196 MB,,206 MB,,,,,,,255 MB
2025-04-15 15:57:20,,,,,,,,,199 MB,,,,,,,197 MB,,,,,,,,,,,,,,,,196 MB,,206 MB,,,,,,,253 MB
2025-04-15 15:57:40,,,,,,,,,199 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,197 MB,,206 MB,,,,,,,253 MB
2025-04-15 15:58:00,,,,,,,,,200 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,197 MB,,206 MB,,,,,,,253 MB
2025-04-15 15:58:20,,,,,,,,,201 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,197 MB,,207 MB,,,,,,,253 MB
2025-04-15 15:58:40,,,,,,,,,201 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,198 MB,,207 MB,,,,,,,253 MB
2025-04-15 15:59:00,,,,,,,,,202 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,207 MB,,,,,,,253 MB
2025-04-15 15:59:20,,,,,,,,,202 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,209 MB,,,,,,,253 MB
2025-04-15 15:59:40,,,,,,,,,202 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:00:00,,,,,,,,,202 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,199 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:00:20,,,,,,,,,202 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,199 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:00:40,,,,,,,,,203 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,199 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:01:00,,,,,,,,,203 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,202 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:01:20,,,,,,,,,203 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,197 MB,,210 MB,,,,,,,253 MB
2025-04-15 16:01:40,,,,,,,,,203 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,197 MB,,210 MB,,,,,,,253 MB
2025-04-15 16:02:00,,,,,,,,,204 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,197 MB,,210 MB,,,,,,,253 MB
2025-04-15 16:02:20,,,,,,,,,204 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,197 MB,,210 MB,,,,,,,253 MB
2025-04-15 16:02:40,,,,,,,,,204 MB,,,,,,,198 MB,,,,,,,,,,,,,,,,198 MB,,211 MB,,,,,,,251 MB
2025-04-15 16:03:00,,,,,,,,,204 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,210 MB,,,,,,,251 MB
2025-04-15 16:03:20,,,,,,,,,204 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,210 MB,,,,,,,251 MB
2025-04-15 16:03:40,,,,,,,,,205 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,210 MB,,,,,,,251 MB
2025-04-15 16:04:00,,,,,,,,,204 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,211 MB,,,,,,,251 MB
2025-04-15 16:04:20,,,,,,,,,205 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,198 MB,,208 MB,,,,,,,251 MB
2025-04-15 16:04:40,,,,,,,,,205 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,199 MB,,208 MB,,,,,,,251 MB
2025-04-15 16:05:00,,,,,,,,,205 MB,,,,,,,199 MB,,,,,,,,,,,,,,,,199 MB,,208 MB,,,,,,,252 MB
2025-04-15 16:05:20,,,,,,,,,205 MB,,,,,,,200 MB,,,,,,,,,,,,,,,,199 MB,,208 MB,,,,,,,252 MB
2025-04-15 16:05:40,,,,,,,,,205 MB,,,,,,,200 MB,,,,,,,,,,,,,,,,199 MB,,208 MB,,,,,,,252 MB
2025-04-15 16:06:00,,,,,,,,,205 MB,,,,,,,200 MB,,,,,,,,,,,,,,,,199 MB,,208 MB,,,,,,,252 MB
2025-04-15 16:06:20,,,,,,,,,211 MB,,,,,,,200 MB,,,,,,,,,,,,,,,,199 MB,,208 MB,,,,,,,252 MB
2025-04-15 16:06:40,,,,,,,,,204 MB,,,,,,,200 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,252 MB
2025-04-15 16:07:00,,,,,,,,,204 MB,,,,,,,200 MB,,,,,,,,,,,,,,,,200 MB,,208 MB,,,,,,,253 MB
2025-04-15 16:07:20,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:07:40,,,,,,,,,204 MB,,,,,,,200 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:08:00,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:08:20,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,253 MB
2025-04-15 16:08:40,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:09:00,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:09:20,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:09:40,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:10:00,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:10:20,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,,,,,200 MB,,209 MB,,,,,,,255 MB
2025-04-15 16:10:40,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,0 B,,,,200 MB,,209 MB,,,,,,,255 MB
2025-04-15 16:11:00,,,,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,171 MB,,,,200 MB,,209 MB,,,,,,,255 MB
2025-04-15 16:11:20,,,0 B,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,181 MB,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:11:40,,,166 MB,,,,,,204 MB,,,,,,,201 MB,,,,,,,,,,,,199 MB,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:12:00,,,177 MB,,,,,,204 MB,,,,,,,201 MB,,,,,,0 B,,,,,,200 MB,,,,200 MB,,209 MB,,,,,,,254 MB
2025-04-15 16:12:20,,,194 MB,,,,,,204 MB,,,,,,,201 MB,,,,,,166 MB,,,,,,201 MB,,,,200 MB,,209 MB,,,,,,,255 MB
2025-04-15 16:12:40,,,194 MB,,,,,,204 MB,,,0 B,,,,201 MB,,,,,,170 MB,,,,,,201 MB,,,,200 MB,,209 MB,,,,,,,255 MB
2025-04-15 16:13:00,,,195 MB,,,,,,204 MB,,,167 MB,,,,201 MB,,,,,,176 MB,,,,,,202 MB,,,,200 MB,,209 MB,,,,,,,255 MB
2025-04-15 16:13:20,,,196 MB,,,,,,,,,170 MB,,,,,,,,,,194 MB,,,,,,202 MB,,,,200 MB,,209 MB,,,,,,,256 MB
2025-04-15 16:13:40,,,196 MB,,,,,,,,,170 MB,,,,,,,,,,194 MB,,,,,,203 MB,,,,,,,,,,,,,256 MB
2025-04-15 16:14:00,,,197 MB,,,,,,,,,196 MB,,,,,,,,,,195 MB,,,,,,203 MB,,,,,,,,,,,,,256 MB
2025-04-15 16:14:20,,,197 MB,,,,,,,,,197 MB,,,,,,,,,,195 MB,,,,,,203 MB,,,,,,,,,,,,,257 MB
2025-04-15 16:14:40,,,197 MB,,,,,,,,,198 MB,,,,,,,,,,196 MB,,,,,,204 MB,,,,,,,,,,,,,257 MB
