sep=,
"Time","reducirimagen-755894457-44kpf","reducirimagen-755894457-g2kft","reducirimagen-755894457-gcktk","reducirimagen-755894457-hzcng","reducirimagen-755894457-jfrcb","reducirimagen-755894457-jlvh4","reducirimagen-755894457-qqvpj","reducirimagen-755894457-qrk6x","reducirimagen-755894457-sdvzf","reducirimagen-755894457-wtd7j","reducirimagen-755894457-xch5x","reducirimagen-755894457-zhvt9"
2025-04-06 21:34:04,,,,,,,,,,,,1.03
2025-04-06 21:34:06,,,,,,,,,,,,1.03
2025-04-06 21:34:08,,,,,,,,,,,,1.03
2025-04-06 21:34:10,,,,,,,,,,,,1.03
2025-04-06 21:34:12,,,,,,,,,,1.00,,1.03
2025-04-06 21:34:14,,,,,,,,,,1.00,,1.03
2025-04-06 21:34:16,,,,,,,,,,1.00,,1.03
2025-04-06 21:34:18,,,,,,,,,,1.00,,1.02
2025-04-06 21:34:20,,,,,,,,,,1.00,,1.02
2025-04-06 21:34:22,,,,,,,,,,1.00,,1.02
2025-04-06 21:34:24,,,,,,,,,,,,1.03
2025-04-06 21:34:26,,,,,,,,,,,,1.03
2025-04-06 21:34:28,,,,,,,,,,,,1.03
2025-04-06 21:34:30,,,,,,,,,,,,0.762
2025-04-06 21:34:32,,,,,,,,,,0.857,,1.04
2025-04-06 21:34:34,,,,,,,,,,0.857,,1.04
2025-04-06 21:34:36,,,,,,,,,,0.857,,1.04
2025-04-06 21:34:38,,,,,,,,,,0.857,,1.04
2025-04-06 21:34:40,,,,,,,,,0.424,0.857,,1.04
2025-04-06 21:34:42,,,,,,,,,0.476,,,1.04
2025-04-06 21:34:44,,,,,,,,,0.528,0.534,,1.05
2025-04-06 21:34:46,,,,,,,,,0.580,0.588,,0.782
2025-04-06 21:34:48,,,,,,,,,0.770,0.807,,0.713
2025-04-06 21:34:50,,,,,,,,,0.620,0.807,,0.643
2025-04-06 21:34:52,,,,,,,,,0.568,0.807,,0.573
2025-04-06 21:34:54,,,,,,,,,0.516,0.807,,1.02
2025-04-06 21:34:56,,,,,,,,,0.464,0.807,,1.02
2025-04-06 21:34:58,,,,,,,,,0.858,0.800,,1.02
2025-04-06 21:35:00,,,,,,,,,0.905,0.800,,1.02
2025-04-06 21:35:02,,,,,,,,,0.905,0.794,,1.02
2025-04-06 21:35:04,,,,,,,,,0.905,0.794,,
2025-04-06 21:35:06,,,,,,,,,0.905,0.794,,
2025-04-06 21:35:08,,,,,,,,,0.905,0.794,,
2025-04-06 21:35:10,,,,,,,,,0.708,0.865,,0.972
2025-04-06 21:35:12,,,,,,,,,0.779,0.865,,0.972
2025-04-06 21:35:14,,,,,,,,,1.06,0.707,,0.972
2025-04-06 21:35:16,,,,,,,,,1.06,0.958,,0.972
2025-04-06 21:35:18,,,,,,,,,1.06,0.958,,0.972
2025-04-06 21:35:20,,,,,,,,,1.06,0.958,,0.972
2025-04-06 21:35:22,,,,,,,,,1.06,0.853,,0.972
2025-04-06 21:35:24,,,,,,,,,0.752,0.853,,0.803
2025-04-06 21:35:26,,,,,,,,,0.998,0.853,,0.803
2025-04-06 21:35:28,,,,,,,,,0.947,0.756,,0.803
2025-04-06 21:35:30,,,,0.774,,,,,0.947,0.756,,0.803
2025-04-06 21:35:32,,,,0.774,,,,,0.947,0.756,,0.803
2025-04-06 21:35:34,,,,0.774,,,,,0.947,0.756,,0.803
2025-04-06 21:35:36,,,,0.774,,,,,0.947,0.543,,0.803
2025-04-06 21:35:38,,,,0.774,,,,,0.947,0.492,,0.803
2025-04-06 21:35:40,,,,0.774,,,,,,0.460,,0.376
2025-04-06 21:35:42,,,,0.464,,,,,,0.460,,0.376
2025-04-06 21:35:44,,,,0.0365,,,,,0.195,0.460,,0.376
2025-04-06 21:35:46,,,,0.0518,,,,,0.195,0.460,,0.376
2025-04-06 21:35:48,,,,0.0518,,,,,0.195,0.460,,0.376
2025-04-06 21:35:50,,,,0.0518,,,,,0.195,0.460,,0.218
2025-04-06 21:35:52,,,,0.0518,,,,,0.195,,,0.218
2025-04-06 21:35:54,,,,0.0518,,,,,0.195,,,0.000829
2025-04-06 21:35:56,,,,0.0372,,,,,,,,0.000906
2025-04-06 21:35:58,,,,0.0338,,,,,0.000903,0.00120,,0.00116
2025-04-06 21:36:00,,,,,,,,,0.00128,0.00120,,0.00123
2025-04-06 21:36:02,,,,,,,,,0.00128,0.00120,,0.00123
2025-04-06 21:36:04,,,,,,,,,0.00128,0.00120,,0.00123
2025-04-06 21:36:06,,,,,,,,,0.00128,0.00120,,0.00123
2025-04-06 21:36:08,,,,,,,,,0.00128,0.00120,,0.00123
2025-04-06 21:36:10,,,,,,,,,0.00128,,,0.00130
2025-04-06 21:36:12,,,,,,,,,0.00128,,,0.00130
2025-04-06 21:36:14,,,,,,,,,,,,0.00130
2025-04-06 21:36:16,,,,,,,,,,,,0.00130
2025-04-06 21:36:18,,,,,,,,,,,,0.00130
2025-04-06 21:36:20,,,,,,,,,,,,0.00130
2025-04-06 21:36:22,,,,,,,,,,,,0.00130
2025-04-06 21:36:24,,,,,,,,,,,,0.00130
2025-04-06 21:36:26,,,,,,,,,,,,0.000957
2025-04-06 21:36:28,,,,,,,,,,,,0.000870
2025-04-06 21:36:30,,,,,,,,,,,,0.247
2025-04-06 21:36:32,,,,,,,,,,,,0.247
2025-04-06 21:36:34,,,,,,,,,,,,0.247
2025-04-06 21:36:36,,,,,,,,,,,,0.247
2025-04-06 21:36:38,,,,,,,,,,,,0.247
2025-04-06 21:36:40,,,,,,,,,,,,0.247
2025-04-06 21:36:46,,,,,,,,,,,,1.03
2025-04-06 21:36:48,,,,,,,,,,,,1.03
2025-04-06 21:36:50,,,,,,,,,,,,1.03
2025-04-06 21:36:52,,,,,,,,,,,,1.03
2025-04-06 21:36:54,,,,,,,,,,,,1.03
2025-04-06 21:36:56,,,,,,,,,,,,1.03
2025-04-06 21:36:58,,,,,,,,,,,,1.03
2025-04-06 21:37:04,,,,,,,,,,,,1.06
2025-04-06 21:37:06,,,,,,,,,,,,1.06
2025-04-06 21:37:08,,,,,,,,,,,,1.06
2025-04-06 21:37:10,,,,,,,,,,,,1.06
2025-04-06 21:37:12,,,,,,,,,,,,1.06
2025-04-06 21:37:14,,,,,,,,,,,,1.06
2025-04-06 21:37:22,,,,,,,,,,,,0.980
2025-04-06 21:37:24,,,,,,,,,,,,0.980
2025-04-06 21:37:26,,,,,,,,,,,,0.980
2025-04-06 21:37:28,,,,,,,,,,,,0.980
2025-04-06 21:37:30,,,,,,,,,,,,0.980
2025-04-06 21:37:32,,,,,,,,,,,,0.980
2025-04-06 21:37:40,,,,,,,1.04,,,,,0.883
2025-04-06 21:37:42,,,,,,,1.06,,,,,0.883
2025-04-06 21:37:44,,,,,,,1.06,,,,,0.883
2025-04-06 21:37:46,,,,,,,1.06,,,,,0.883
2025-04-06 21:37:48,,,,,,,1.06,,,,,0.883
2025-04-06 21:37:50,,,,,,,1.06,,,,,0.883
2025-04-06 21:37:52,,,,,,,1.06,,,,,
2025-04-06 21:37:58,,,,,,,,,,,,0.912
2025-04-06 21:38:00,,,,,,,0.780,,,,,0.912
2025-04-06 21:38:02,,,,,,,0.780,,,,,0.912
2025-04-06 21:38:04,,,,,,,0.780,,,,,0.912
2025-04-06 21:38:06,,,,,,,0.780,,,,,0.912
2025-04-06 21:38:08,,,,,,,0.780,,,,,0.912
2025-04-06 21:38:16,,,,,,0.511,0.538,,,,,0.554
2025-04-06 21:38:18,,,,,,0.748,0.538,,,,,0.554
2025-04-06 21:38:20,,,,,,0.748,0.538,,,,,0.554
2025-04-06 21:38:22,,,,,,0.748,0.538,,,,,0.554
2025-04-06 21:38:24,,,,,,0.748,0.538,,,,,0.554
2025-04-06 21:38:26,,,,,,0.748,0.538,,,,,0.554
2025-04-06 21:38:28,,,,,,0.748,0.303,,,,,
2025-04-06 21:38:30,,,,,,0.387,0.000889,,,,,
2025-04-06 21:38:32,,,,,,0.387,0.00126,,,,,0.00121
2025-04-06 21:38:34,,,,,,0.00127,0.00126,,,,,0.00121
2025-04-06 21:38:36,,,,,,0.00127,0.00126,,,,,0.00121
2025-04-06 21:38:38,,,,,,0.00127,0.00126,,,,,0.00121
2025-04-06 21:38:40,,,,,,0.00127,0.00126,,,,,0.00121
2025-04-06 21:38:42,,,,,,0.00127,0.000889,,,,,0.00121
2025-04-06 21:38:44,,,,,,0.000875,0.000806,,,,,0.00121
2025-04-06 21:38:48,,,,,,,,,,,,0.00119
2025-04-06 21:38:50,,,,,,,,,,,,0.00119
2025-04-06 21:38:52,,,,,,,,,,,,0.00119
2025-04-06 21:38:54,,,,,,,,,,,,0.00119
2025-04-06 21:38:56,,,,,,,,,,,,0.00119
2025-04-06 21:38:58,,,,,,,,,,,,0.00120
2025-04-06 21:39:00,,,,,,,,,,,,0.00120
2025-04-06 21:39:02,,,,,,,,,,,,0.000804
2025-04-06 21:39:04,,,,,,,,,,,,0.000886
2025-04-06 21:39:06,,,,,,,,,,,,0.000967
2025-04-06 21:39:08,,,,,,,,,,,,0.00122
2025-04-06 21:39:10,,,,,,,,,,,,0.000912
2025-04-06 21:39:12,,,,,,,,,,,,0.00121
2025-04-06 21:39:14,,,,,,,,,,,,0.00121
2025-04-06 21:39:16,,,,,,,,,,,,0.00121
2025-04-06 21:39:18,,,,,,,,,,,,0.00121
2025-04-06 21:39:20,,,,,,,,,,,,0.00121
2025-04-06 21:39:22,,,,,,,,,,,,0.00121
2025-04-06 21:39:24,,,,,,,,,,,,0.00121
2025-04-06 21:39:26,,,,,,,,,,,,0.00121
2025-04-06 21:39:28,,,,,,,,,,,,0.000908
2025-04-06 21:39:30,,,,,,,,,,,,0.00121
2025-04-06 21:39:32,,,,,,,,,,,,0.00121
2025-04-06 21:39:34,,,,,,,,,,,,0.000930
2025-04-06 21:39:36,,,,,,,,,,,,0.0506
2025-04-06 21:39:38,,,,,,,,,,,,0.0506
2025-04-06 21:39:40,,,,,,,,,,,,0.0506
2025-04-06 21:39:42,,,,,,,,,,,,0.0914
2025-04-06 21:39:44,,,,,,,,,,,,0.0914
2025-04-06 21:39:46,,,,,,,,,,,,0.0914
2025-04-06 21:39:48,,,,,,,,,,,,0.0914
2025-04-06 21:39:50,,,,,,,,,,,,0.0643
2025-04-06 21:39:54,,,,,,,,,,,,1.03
2025-04-06 21:39:56,,,,,,,,,,,,1.03
2025-04-06 21:39:58,,,,,,,,,,,,1.03
2025-04-06 21:40:00,,,,,,,,,,,,1.03
2025-04-06 21:40:02,,,,,,,,,,,,1.03
2025-04-06 21:40:04,,,,,,,,,,,,1.03
2025-04-06 21:40:10,,,,,,,,,,,,1.05
2025-04-06 21:40:12,,,,,,,,,,,,1.05
2025-04-06 21:40:14,,,,,,,,,,,,1.05
2025-04-06 21:40:16,,,,,,,,,,,,1.05
2025-04-06 21:40:18,,,,,,,,,,,,1.05
2025-04-06 21:40:20,,,,,,,,,,,,1.05
2025-04-06 21:40:22,,,,,,,,,,,,1.05
2025-04-06 21:40:24,,,,,,,,,,,,1.03
2025-04-06 21:40:26,,,,,,,,,,,,1.03
2025-04-06 21:40:28,,,,,,,,,,,,1.03
2025-04-06 21:40:30,,,,,,,,,,,,1.03
2025-04-06 21:40:32,,,,,,,,,,,,1.03
2025-04-06 21:40:34,,,,,,,,,,,,1.03
2025-04-06 21:40:36,,,,,,,,,,,,1.03
2025-04-06 21:40:38,,,,,,,,,,,,1.03
2025-04-06 21:40:42,,,,,,,,,,,,1.02
2025-04-06 21:40:44,,,,,,,,,,,,1.02
2025-04-06 21:40:46,,,,,,,,,,,,1.02
2025-04-06 21:40:48,,,,,,,,,,,,1.02
2025-04-06 21:40:50,,,,,,,,,,,,1.02
2025-04-06 21:40:52,,,,,,,,,,,,1.02
2025-04-06 21:40:56,,,,,,,,,,,,0.987
2025-04-06 21:40:58,,,,,,,,,,,,0.987
2025-04-06 21:41:00,,,,,,,,1.03,,,,0.987
2025-04-06 21:41:02,,,,,,,,1.03,,,,0.987
2025-04-06 21:41:04,,,,,,,,1.03,,,,0.987
2025-04-06 21:41:06,,,,,,,,1.03,,,,0.987
2025-04-06 21:41:08,,,,,,,,1.03,,,,1.00
2025-04-06 21:41:10,,,,,,,,1.03,,,,1.00
2025-04-06 21:41:12,,,,,,,,,,,,0.755
2025-04-06 21:41:14,,,,,,,,,,,,1.03
2025-04-06 21:41:16,,,,,,,,0.951,,,,1.03
2025-04-06 21:41:18,,,,,,,,0.951,,,,1.03
2025-04-06 21:41:20,,,,,,,,0.951,,,,1.03
2025-04-06 21:41:22,,,,,,,,0.951,,,,0.746
2025-04-06 21:41:24,,,,,,,,0.951,,,,0.678
2025-04-06 21:41:26,,,,,,,,0.951,,,,1.00
2025-04-06 21:41:28,,,,,,,,0.951,,,,1.00
2025-04-06 21:41:30,,,,,,,,,,,,1.00
2025-04-06 21:41:32,,,,,,,,,,,,1.00
2025-04-06 21:41:34,,,,,,,,0.896,,,,1.00
2025-04-06 21:41:36,0.931,,,,,,,0.896,,,,1.00
2025-04-06 21:41:38,0.935,,,,,,,0.896,,,,
2025-04-06 21:41:40,0.935,,,,,,,0.896,,,,
2025-04-06 21:41:42,0.935,,,,,,,0.896,,,,
2025-04-06 21:41:44,0.935,,,,,,,0.896,,,,0.895
2025-04-06 21:41:46,0.935,,,,,,,0.369,,,,0.895
2025-04-06 21:41:48,0.935,,,,,,,0.408,,,,0.895
2025-04-06 21:41:50,,,,,,,,0.585,,,,0.895
2025-04-06 21:41:52,,,,,,,,0.585,,,,0.895
2025-04-06 21:41:54,0.339,,,,,,,0.585,,,,0.895
2025-04-06 21:41:56,0.339,,,,,,,0.585,,,,
2025-04-06 21:41:58,0.339,,,,,,,0.446,,,,0.000782
2025-04-06 21:42:00,0.339,,,,,,,0.407,,,,0.000860
2025-04-06 21:42:02,0.339,,,,,,,0.254,,,,0.00116
2025-04-06 21:42:04,0.339,,,,,,,0.00129,,,,0.00116
2025-04-06 21:42:06,,,0,,,,,0.00129,,,,0.00116
2025-04-06 21:42:08,,,0,,,,,0.00129,,,,0.00116
2025-04-06 21:42:10,,,0,,,,,0.00129,,,,0.000863
2025-04-06 21:42:12,,,0,,,,,0.00128,,,,0.000785
2025-04-06 21:42:14,0.00145,,0,,,,,0.00128,,,,0.00124
2025-04-06 21:42:16,0.00145,,0,,,,,0.000877,,,,0.00124
2025-04-06 21:42:18,0.00145,,0,,,,,0.000962,,,,0.00124
2025-04-06 21:42:20,0.00145,,0,,,,,0.00127,,,,0.00124
2025-04-06 21:42:22,0.00145,,0,,,,,0.00127,,,,0.00124
2025-04-06 21:42:24,,,0,,,,,0.000934,,,,0.00124
2025-04-06 21:42:26,,,,,,,,0.000849,,,,0.00124
2025-04-06 21:42:28,,,,,,,,0.000764,,,,0.000814
2025-04-06 21:42:30,,,,,,,,0.000679,,,,0.00114
2025-04-06 21:42:32,,,,,,,,,,,,0.00114
2025-04-06 21:42:34,,,,,,,,,,,,0.00114
2025-04-06 21:42:36,,,,,,,,,,,,0.00114
2025-04-06 21:42:38,,,,,,,,,,,,0.00114
2025-04-06 21:42:40,,,,,,,,,,,,0.00120
2025-04-06 21:42:42,,,,,,,,,,,,0.00120
2025-04-06 21:42:44,,,,,,,,,,,,0.00126
2025-04-06 21:42:46,,,,,,,,,,,,0.00126
2025-04-06 21:42:48,,,,,,,,,,,,0.00126
2025-04-06 21:42:50,,,,,,,,,,,,0.00119
2025-04-06 21:42:52,,,,,,,,,,,,0.00119
2025-04-06 21:42:54,,,,,,,,,,,,0.00119
2025-04-06 21:42:56,,,,,,,,,,,,0.00119
2025-04-06 21:42:58,,,,,,,,,,,,0.00112
2025-04-06 21:43:00,,,,,,,,,,,,0.00112
2025-04-06 21:43:02,,,,,,,,,,,,0.00112
2025-04-06 21:43:04,,,,,,,,,,,,0.000812
2025-04-06 21:43:06,,,,,,,,,,,,0.000737
2025-04-06 21:43:08,,,,,,,,,,,,0.00118
2025-04-06 21:43:10,,,,,,,,,,,,0.00122
2025-04-06 21:43:12,,,,,,,,,,,,0.00122
2025-04-06 21:43:14,,,,,,,,,,,,0.00122
2025-04-06 21:43:16,,,,,,,,,,,,0.00122
2025-04-06 21:43:18,,,,,,,,,,,,0.00122
2025-04-06 21:43:24,,,,,,,,,,,,0.00116
2025-04-06 21:43:26,,,,,,,,,,,,0.00116
2025-04-06 21:43:28,,,,,,,,,,,,0.00116
2025-04-06 21:43:30,,,,,,,,,,,,0.00116
2025-04-06 21:43:32,,,,,,,,,,,,0.00116
2025-04-06 21:43:34,,,,,,,,,,,,0.00116
2025-04-06 21:43:36,,,,,,,,,,,,0.00327
2025-04-06 21:43:38,,,,,,,,,,,,0.00428
2025-04-06 21:43:40,,,,,,,,,,,,0.00583
2025-04-06 21:43:42,,,,,,,,,,,,0.00583
2025-04-06 21:43:44,,,,,,,,,,,,0.00583
2025-04-06 21:43:46,,,,,,,,,,,,0.00583
2025-04-06 21:43:48,,,,,,,,,,,,0.00583
2025-04-06 21:43:50,,,,,,,,,,,,0.00426
2025-04-06 21:43:52,,,,,,,,,,,,0.00387
2025-04-06 21:43:54,,,,,,,,,,,,0.00133
2025-04-06 21:43:56,,,,,,,,,,,,0.00133
2025-04-06 21:43:58,,,,,,,,,,,,0.00133
2025-04-06 21:44:00,,,,,,,,,,,,0.00133
2025-04-06 21:44:02,,,,,,,,,,,,0.00133
2025-04-06 21:44:04,,,,,,,,,,,,0.00133
2025-04-06 21:44:10,,,,,,,,,,,,0.664
2025-04-06 21:44:12,,,,,,,,,,,,0.664
2025-04-06 21:44:14,,,,,,,,,,,,0.664
2025-04-06 21:44:16,,,,,,,,,,,,0.664
2025-04-06 21:44:18,,,,,,,,,,,,0.664
2025-04-06 21:44:20,,,,,,,,,,,,0.664
2025-04-06 21:44:22,,,,,,,,,,,,0.664
2025-04-06 21:44:24,,,,,,,,,,,,0.721
2025-04-06 21:44:26,,,,,,,,,,,,1.02
2025-04-06 21:44:28,,,,,,,,,,,,1.02
2025-04-06 21:44:30,,,,,,,,,,,,1.02
2025-04-06 21:44:32,,,,,,,,,,,,1.02
2025-04-06 21:44:34,,,,,,,,,,,,1.02
2025-04-06 21:44:36,,,,,,,,,,,,1.03
2025-04-06 21:44:38,,,,,,,,,,,,1.03
2025-04-06 21:44:40,,,,,,,,,,,,0.775
2025-04-06 21:44:42,,,,,,,,,,,,1.03
2025-04-06 21:44:44,,,,,,,,,,,,1.03
2025-04-06 21:44:46,,,,,,,,,,,,1.03
2025-04-06 21:44:48,,,,,,,,,,,,1.03
2025-04-06 21:44:50,,,,,,,,,,,,1.03
2025-04-06 21:44:52,,,,,,,,,,,,1.03
2025-04-06 21:44:54,,,,,,,,,,,,1.03
2025-04-06 21:44:56,,,,,,,,,,,,1.03
2025-04-06 21:44:58,,,,,,,,,,,,1.03
2025-04-06 21:45:00,,,,,,,,,,,,1.03
2025-04-06 21:45:02,,0.529,,,,,,,,,,0.760
2025-04-06 21:45:04,,0.585,,,,,,,,,,0.692
2025-04-06 21:45:06,,0.736,,,,,,,,,,1.03
2025-04-06 21:45:08,,0.791,,,,,,,,,,1.03
2025-04-06 21:45:10,,0.828,,,,,,,,,,1.03
2025-04-06 21:45:12,,0.828,,,,,,,,,,1.03
2025-04-06 21:45:14,,0.828,,,,,,,,,,1.03
2025-04-06 21:45:16,,0.609,,,,,,,,,,1.03
2025-04-06 21:45:18,,0.554,,,,,,,,,,0.675
2025-04-06 21:45:20,,0.911,,,,,,,,,,0.743
2025-04-06 21:45:22,,0.911,,,,,,,,,,1.01
2025-04-06 21:45:24,,0.911,,,,,,,,,,1.01
2025-04-06 21:45:26,,0.911,,,,,,,,,,1.01
2025-04-06 21:45:28,,0.911,,,,,,,,,,1.01
2025-04-06 21:45:30,,0.911,,,,,,,,,,1.01
2025-04-06 21:45:32,,0.551,,,,,,,,,,0.697
2025-04-06 21:45:34,,0.608,,,,,,,,,,1.01
2025-04-06 21:45:36,,0.852,,,,,,,,,,1.01
2025-04-06 21:45:38,,0.852,,,,,,,,,,1.01
2025-04-06 21:45:40,,0.852,,,,,,,,,,1.01
2025-04-06 21:45:42,,0.852,,,,,,,,,,1.01
2025-04-06 21:45:44,,0.852,,,,,,,,,,1.01
2025-04-06 21:45:46,,0.605,,,,,,,,,0.709,1.01
2025-04-06 21:45:48,,0.549,,,,,,,,,0.763,
2025-04-06 21:45:50,,,,,,,,,,,0.802,
2025-04-06 21:45:52,,0.892,,,,,,,,,0.802,
2025-04-06 21:45:54,,0.892,,,,,,,,,0.802,1.01
2025-04-06 21:45:56,,0.892,,,,,,,,,0.802,1.01
2025-04-06 21:45:58,,0.892,,,,,,,,,0.802,1.01
2025-04-06 21:46:00,,0.892,,,,,,,,,0.802,1.01
2025-04-06 21:46:02,,,,,,,,,,,0.668,1.01
2025-04-06 21:46:04,,,,,,,,,,,0.668,0.229
2025-04-06 21:46:06,,,,,,,,,,,0.668,0.257
2025-04-06 21:46:08,,0.285,,,,,,,,,0.668,0.286
2025-04-06 21:46:10,,0.285,,,,,,,,,0.668,0.314
2025-04-06 21:46:12,,0.285,,,,,,,,,0.668,0.428
2025-04-06 21:46:14,,0.285,,,,,,,,,0.668,0.428
2025-04-06 21:46:16,,0.285,,,,,,,,,,0.329
2025-04-06 21:46:18,,0.175,,,,,,,,,,0.193
2025-04-06 21:46:20,,0.175,,,,,,,,,0.00120,0.193
2025-04-06 21:46:22,,0.000765,,,,,,,,,0.00120,0.193
2025-04-06 21:46:24,,0.000838,,,,,,,,,0.00120,0.00117
2025-04-06 21:46:26,,0.00110,,,0,,,,,,0.00120,0.00117
2025-04-06 21:46:28,,0.00110,,,0,,,,,,0.00120,0.00117
2025-04-06 21:46:30,,0.000806,,,0,,,,,,0.00120,0.00114
2025-04-06 21:46:32,,0.000732,,,0,,,,,,,0.00114
2025-04-06 21:46:34,,0.000659,,,0,,,,,,,0.00111
2025-04-06 21:46:36,,0.000585,,,0,,,,,,,0.00111
2025-04-06 21:46:38,,,,,0,,,,,,,0.00111
2025-04-06 21:46:40,,,,,0,,,,,,,0.00111
2025-04-06 21:46:42,,,,,,,,,,,,0.00111
2025-04-06 21:46:44,,,,,,,,,,,,0.000784
2025-04-06 21:46:46,,,,,,,,,,,,0.000710
2025-04-06 21:46:48,,,,,,,,,,,,0.00117
2025-04-06 21:46:50,,,,,,,,,,,,0.00117
2025-04-06 21:46:52,,,,,,,,,,,,0.00117
2025-04-06 21:46:54,,,,,,,,,,,,0.00117
2025-04-06 21:46:56,,,,,,,,,,,,0.00117
2025-04-06 21:46:58,,,,,,,,,,,,0.00117
2025-04-06 21:47:04,,,,,,,,,,,,0.00115
2025-04-06 21:47:06,,,,,,,,,,,,0.00115
2025-04-06 21:47:08,,,,,,,,,,,,0.00115
2025-04-06 21:47:10,,,,,,,,,,,,0.00115
2025-04-06 21:47:12,,,,,,,,,,,,0.00115
2025-04-06 21:47:14,,,,,,,,,,,,0.00115
2025-04-06 21:47:16,,,,,,,,,,,,0.00115
2025-04-06 21:47:18,,,,,,,,,,,,0.000877
2025-04-06 21:47:20,,,,,,,,,,,,0.000964
2025-04-06 21:47:22,,,,,,,,,,,,0.00130
2025-04-06 21:47:24,,,,,,,,,,,,0.00130
2025-04-06 21:47:26,,,,,,,,,,,,0.00130
2025-04-06 21:47:28,,,,,,,,,,,,0.00130
2025-04-06 21:47:30,,,,,,,,,,,,0.000974
2025-04-06 21:47:32,,,,,,,,,,,,0.00127
2025-04-06 21:47:34,,,,,,,,,,,,0.00124
2025-04-06 21:47:36,,,,,,,,,,,,0.00124
2025-04-06 21:47:38,,,,,,,,,,,,0.00124
2025-04-06 21:47:40,,,,,,,,,,,,0.00124
2025-04-06 21:47:42,,,,,,,,,,,,0.00124
2025-04-06 21:47:44,,,,,,,,,,,,0.00124
2025-04-06 21:47:46,,,,,,,,,,,,0.00124
2025-04-06 21:47:52,,,,,,,,,,,,0.00120
2025-04-06 21:47:54,,,,,,,,,,,,0.00120
2025-04-06 21:47:56,,,,,,,,,,,,0.00120
2025-04-06 21:47:58,,,,,,,,,,,,0.00120
2025-04-06 21:48:00,,,,,,,,,,,,0.00120
