sep=,
"Time","reducirimagen-755894457-92z5l","reducirimagen-755894457-94sfr","reducirimagen-755894457-g862d","reducirimagen-755894457-m42pt","reducirimagen-755894457-n597c","reducirimagen-755894457-vwk9q","reducirimagen-755894457-xkmv7","reducirimagen-755894457-zhvt9"
2025-04-05 19:17:15,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:16,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:17,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:18,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:19,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:20,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:21,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:22,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:23,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:24,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:25,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:26,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:27,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:28,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:29,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:30,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:31,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:32,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:33,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:34,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:35,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:36,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:37,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:38,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:39,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:40,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:41,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:42,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:43,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:44,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:45,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:46,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:47,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:48,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:49,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:50,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:51,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:52,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:53,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:54,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:55,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:56,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:57,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:58,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:17:59,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:00,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:01,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:02,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:03,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:04,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:05,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:06,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:07,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:08,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:09,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:10,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:11,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:12,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:13,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:14,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:15,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:16,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:17,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:18,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:19,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:20,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:21,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:22,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:23,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:24,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:25,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:26,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:27,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:28,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:29,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:30,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:31,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:32,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:33,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:34,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:35,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:36,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:37,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:38,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:39,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:40,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:41,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:42,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:43,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:44,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:45,28.2 MB,,,20.7 MB,,,198 MB,222 MB
2025-04-05 19:18:46,28.2 MB,,,,,,198 MB,222 MB
2025-04-05 19:18:47,28.2 MB,,,,,,198 MB,222 MB
2025-04-05 19:18:48,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:49,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:50,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:51,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:52,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:53,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:54,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:55,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:56,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:57,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:58,28.2 MB,,,,,,,222 MB
2025-04-05 19:18:59,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:00,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:01,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:02,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:03,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:04,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:05,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:06,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:07,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:08,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:09,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:10,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:11,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:12,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:13,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:14,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:15,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:16,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:17,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:18,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:19,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:20,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:21,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:22,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:23,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:24,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:25,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:26,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:27,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:28,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:29,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:30,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:31,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:32,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:33,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:34,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:35,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:36,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:37,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:38,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:39,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:40,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:41,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:42,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:43,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:44,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:45,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:46,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:47,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:48,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:49,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:50,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:51,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:52,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:53,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:54,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:55,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:56,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:57,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:58,28.2 MB,,,,,,,222 MB
2025-04-05 19:19:59,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:00,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:01,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:02,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:03,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:04,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:05,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:06,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:07,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:08,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:09,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:10,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:11,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:12,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:13,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:14,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:15,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:16,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:17,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:18,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:19,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:20,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:21,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:22,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:23,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:24,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:25,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:26,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:27,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:28,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:29,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:30,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:31,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:32,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:33,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:34,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:35,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:36,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:37,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:38,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:39,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:40,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:41,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:42,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:43,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:44,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:45,28.2 MB,,,,,,,222 MB
2025-04-05 19:20:46,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:47,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:48,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:49,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:50,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:51,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:52,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:53,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:54,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:55,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:56,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:57,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:58,28.2 MB,,,,,,,220 MB
2025-04-05 19:20:59,28.2 MB,,,,,,,220 MB
2025-04-05 19:21:00,28.2 MB,,,,,,,220 MB
